Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-08-08 12:48:32.660 -0400,"Success",0:00:00,0,0,0,"20240808_124832.660/LogFile.txt","","",1
2024-08-08 12:48:45.423 -0400,"Failure",0:00:00,1,0,0,"20240808_124845.423/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'names'",0
2024-08-08 12:50:42.219 -0400,"Success",0:00:00,0,0,0,"20240808_125042.219/LogFile.txt","","",1
2024-08-08 12:51:04.459 -0400,"Success",0:00:00,0,0,0,"20240808_125104.459/LogFile.txt","","",1
2024-08-08 12:51:15.090 -0400,"Success",0:00:00,0,0,0,"20240808_125115.090/LogFile.txt","","",1
2024-08-08 12:52:05.926 -0400,"Failure",0:00:00,1,0,0,"20240808_125205.926/LogFile.txt","","STInvalidNumber -- Value is not a number: '[{name:""rabbit""},{name:""cam...'",0
2024-08-08 12:52:22.818 -0400,"Success",0:00:00,0,0,0,"20240808_125222.818/LogFile.txt","","",1
2024-08-08 12:52:38.035 -0400,"Success",0:00:00,0,0,0,"20240808_125238.035/LogFile.txt","","",1
2024-08-08 12:53:00.953 -0400,"Success",0:00:00,0,0,0,"20240808_125300.953/LogFile.txt","","",1
2024-08-08 12:53:14.037 -0400,"Success",0:00:00,0,0,0,"20240808_125314.037/LogFile.txt","","",1
2024-08-08 12:53:34.844 -0400,"Success",0:00:00,0,0,0,"20240808_125334.844/LogFile.txt","","",1
2024-08-08 12:54:11.897 -0400,"Failure",0:00:00,1,0,0,"20240808_125411.897/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'sorted'",0
2024-08-08 12:54:37.739 -0400,"Failure",0:00:00,1,0,0,"20240808_125437.739/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'sorted'",0
2024-08-08 12:54:46.554 -0400,"Failure",0:00:00,1,0,0,"20240808_125446.554/LogFile.txt","","STUnknownMessage -- ERROR: 'sort' was called as a Function, but is only available as a Command",0
2024-08-08 12:55:10.036 -0400,"Failure",0:00:00,1,0,0,"20240808_125510.036/LogFile.txt","","STUnknownMessage -- ERROR: 'sort' was called as a Function, but is only available as a Command",0
2024-08-08 12:55:31.420 -0400,"Failure",0:00:00,1,0,0,"20240808_125531.420/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'sorted'",0
2024-08-08 12:56:00.074 -0400,"Success",0:00:00,0,0,0,"20240808_125600.074/LogFile.txt","","",1
2024-08-08 12:56:31.657 -0400,"Success",0:00:00,0,0,0,"20240808_125631.657/LogFile.txt","","",1
2024-08-08 12:57:34.958 -0400,"Success",0:00:00,0,0,0,"20240808_125734.958/LogFile.txt","","",1
2024-08-08 12:57:41.624 -0400,"Success",0:00:00,0,0,0,"20240808_125741.624/LogFile.txt","","",1
2024-08-08 12:57:48.991 -0400,"Success",0:00:00,0,0,0,"20240808_125748.991/LogFile.txt","","",1
2024-08-08 12:58:02.978 -0400,"Success",0:00:00,0,0,0,"20240808_125802.978/LogFile.txt","","",1
2024-08-08 12:58:36.103 -0400,"Success",0:00:00,0,0,0,"20240808_125836.103/LogFile.txt","","",1
2024-08-08 12:59:31.391 -0400,"Success",0:00:00,0,0,0,"20240808_125931.391/LogFile.txt","","",1
2024-08-08 13:00:18.174 -0400,"Success",0:00:00,0,0,0,"20240808_130018.174/LogFile.txt","","",1
2024-08-08 13:01:34.029 -0400,"Success",0:00:00,0,0,0,"20240808_130134.029/LogFile.txt","","",1
2024-08-08 13:51:01.886 -0400,"Success",0:00:00,0,0,0,"20240808_135101.886/LogFile.txt","","",1
2024-08-08 13:51:27.353 -0400,"Success",0:00:00,0,0,0,"20240808_135127.353/LogFile.txt","","",1
2024-08-08 13:51:55.551 -0400,"Success",0:00:00,0,0,0,"20240808_135155.551/LogFile.txt","","",1
2024-08-08 13:52:12.453 -0400,"Success",0:00:00,0,0,0,"20240808_135212.453/LogFile.txt","","",1
2024-08-08 13:52:29.237 -0400,"Failure",0:00:00,1,0,0,"20240808_135229.237/LogFile.txt","","STInvalidBoolean -- Value 'rabbit' is not TRUE, FALSE, YES, NO, ON, OFF or empty",0
2024-08-08 13:52:45.773 -0400,"Success",0:00:00,0,0,0,"20240808_135245.773/LogFile.txt","","",1
2024-08-08 13:52:53.504 -0400,"Success",0:00:00,0,0,0,"20240808_135253.504/LogFile.txt","","",1
2024-08-08 13:53:15.520 -0400,"Success",0:00:00,0,0,0,"20240808_135315.520/LogFile.txt","","",1
2024-08-08 13:53:27.083 -0400,"Success",0:00:00,0,0,0,"20240808_135327.083/LogFile.txt","","",1
2024-08-08 13:53:36.638 -0400,"Success",0:00:00,0,0,0,"20240808_135336.638/LogFile.txt","","",1
2024-08-08 13:53:45.156 -0400,"Success",0:00:00,0,0,0,"20240808_135345.156/LogFile.txt","","",1
2024-08-08 13:53:53.960 -0400,"Success",0:00:00,0,0,0,"20240808_135353.960/LogFile.txt","","",1
2024-08-08 13:54:21.599 -0400,"Success",0:00:00,0,0,0,"20240808_135421.599/LogFile.txt","","",1
2024-08-08 13:54:41.072 -0400,"Success",0:00:00,0,0,0,"20240808_135441.072/LogFile.txt","","",1
2024-08-08 13:57:10.155 -0400,"Failure",0:00:00,1,0,0,"20240808_135710.155/LogFile.txt","","Unknown Property or Function -- Unable to access global property or function 'NAME'",0
2024-08-08 13:57:18.870 -0400,"Success",0:00:00,0,0,0,"20240808_135718.870/LogFile.txt","","",1
2024-08-08 13:57:54.669 -0400,"Success",0:00:00,0,0,0,"20240808_135754.669/LogFile.txt","","",1
2024-08-08 13:58:17.202 -0400,"Success",0:00:00,0,0,0,"20240808_135817.202/LogFile.txt","","",1
2024-08-08 13:58:36.294 -0400,"Success",0:00:00,0,0,0,"20240808_135836.294/LogFile.txt","","",1
2024-08-08 13:59:02.160 -0400,"Failure",0:00:00,1,0,0,"20240808_135902.160/LogFile.txt","","STInvalidNumber -- Value is not a number: 'giraffe'",0
